model,seed,plant,scan,n_points,mIoU_global,IoU_c1_global,IoU_c2_global,J_IoU_c1_r1,J_IoU_c1_r10,J_IoU_c1_r2,J_IoU_c1_r5,J_IoU_c2_r1,J_IoU_c2_r10,J_IoU_c2_r2,J_IoU_c2_r5,J_band_share_r1,J_band_share_r10,J_band_share_r2,J_band_share_r5,J_hidden_gap_r1,J_hidden_gap_r10,J_hidden_gap_r2,J_hidden_gap_r5,J_mIoU_r1,J_mIoU_r10,J_mIoU_r2,J_mIoU_r5,O_IoU_c1_r1,O_IoU_c1_r10,O_IoU_c1_r2,O_IoU_c1_r5,O_IoU_c2_r1,O_IoU_c2_r10,O_IoU_c2_r2,O_IoU_c2_r5,O_band_share_r1,O_band_share_r10,O_band_share_r2,O_band_share_r5,O_hidden_gap_r1,O_hidden_gap_r10,O_hidden_gap_r2,O_hidden_gap_r5,O_mIoU_r1,O_mIoU_r10,O_mIoU_r2,O_mIoU_r5
semseg-ptv3-pheno4d-maize,1,Maize01,M01_0313_a,1554168,0.9553835704350234,0.933833358087034,0.9769337827830128,0.5669014084507042,0.874918109499298,0.6659783492897816,0.8156488154763958,0.2857142857142857,0.8791477120685042,0.476169718105202,0.756191375936298,0.008270019714728395,0.08313258283531767,0.017249743914428812,0.04058891960199927,0.5290757233525285,0.07835065965112231,0.38430953673753165,0.1694634747286765,0.426307847082495,0.8770329107839011,0.5710740336974918,0.7859200957063469,0.5963522200627897,0.8779886532486829,0.6673433607086832,0.7741875,0.2857142857142857,0.8791477120685042,0.476169718105202,0.756191375936298,0.004998816086806575,0.0359645804057219,0.009081386310875015,0.017505186054532072,0.5143503175464857,0.07681538777642982,0.3836270310280808,0.19019413246687444,0.4410332528885377,0.8785681826585936,0.5717565394069426,0.765189437968149
semseg-ptv3-pheno4d-maize,1,Maize01,M01_0315_a,1301557,0.5769782978596751,0.6323477581292715,0.5216088375900789,0.6010879419764279,0.9574746297507035,0.7402597402597403,0.8998850807814507,0.7744270205066345,0.9882522027119915,0.8783171521035599,0.9660527266161069,0.004201890504987488,0.06953517978851484,0.008962342794053583,0.0266388640681891,-0.1107791833818561,-0.3958851183716724,-0.23231014832197494,-0.3559906058391036,0.6877574812415312,0.9728634162313475,0.8092884461816501,0.9329689036987787,0.7183734939759037,0.9880997594632231,0.8925714285714286,0.9658306070519811,0.7744270205066345,0.9882522027119915,0.8783171521035599,0.9660527266161069,0.001003413603860607,0.02428860203586935,0.0023871409396591927,0.008337706300991812,-0.169421959381594,-0.41119768322793226,-0.30846599247781903,-0.3889633689743688,0.7464002572412691,0.9881759810876074,0.8854442903374942,0.9659416668340439
semseg-ptv3-pheno4d-maize,1,Maize01,M01_0317_a,803846,0.83790339593797,0.7956843958563649,0.8801223960195752,0.5269641390637831,0.914144041055515,0.6738257107540173,0.8586034079518877,0.6575939031028851,0.9447383553766533,0.7973391089108911,0.9114806866952789,0.006264881581795518,0.08452862861791935,0.013090815902548498,0.03494450429559891,0.24562437485463584,-0.09153780227811414,0.10232098610551588,-0.04713865138561335,0.5922790210833342,0.9294411982160842,0.7355824098324542,0.8850420473235834,0.6187878787878788,0.9639446822522226,0.8054648054648055,0.9244480220791168,0.6575939031028851,0.9615474657614421,0.7973391089108911,0.911847578156447,0.003555407379025336,0.04310651542708429,0.007394451175971517,0.019272348186095346,0.19971250499258808,-0.12484267806886229,0.036501438750121684,-0.08024440417981182,0.638190890945382,0.9627460740068323,0.8014019571878483,0.9181478001177819
semseg-ptv3-pheno4d-maize,1,Maize01,M01_0319_a,860826,0.9845548221681393,0.9843818564783664,0.9847277878579122,0.613346747149564,0.9303938490506826,0.7708237459733088,0.8988615143666044,0.7151205259313368,0.9262924071082391,0.777262180974478,0.8819725141471302,0.005468003986868426,0.07852225653035573,0.013205920824882148,0.03570756459493556,0.32032118562768885,0.05621169408867843,0.21051185869424582,0.09413780791127202,0.6642336365404504,0.9283431280794608,0.7740429634738935,0.8904170142568673,0.7627737226277372,0.9710542621935027,0.8582328328821068,0.9421852899575672,0.7151205259313368,0.954630593132154,0.777262180974478,0.8929448354886234,0.0030470733922999538,0.04223269278576623,0.007054851967761197,0.01947780387674164,0.24560769788860226,0.021712394505310928,0.16680731523984682,0.06698975944504393,0.738947124279537,0.9628424276628283,0.8177475069282925,0.9175650627230953
semseg-ptv3-pheno4d-maize,1,Maize01,M01_0321_a,1114990,0.6099420189482347,0.6900622067735591,0.5298218311229103,0.08206185567010309,0.6729058841264258,0.17707029153997497,0.4827460002091394,0.196241528034504,0.6894207296205882,0.2836333653978288,0.46966348568558514,0.0047874868832904335,0.0907174055372694,0.011964232863075006,0.03901380281437502,0.47079032709593116,-0.07122128792527227,0.37959019047933285,0.13373727600087248,0.13915169185230356,0.681163306873507,0.2303518284689019,0.47620474294736226,0.035175879396984924,0.6884502624940342,0.16551950180268765,0.518482921780275,0.36423841059602646,0.6653974297953356,0.3598189590143324,0.4547509418166597,0.0013856626516829747,0.04260845388747881,0.00401976699342595,0.017002843074825785,0.4102348739517291,-0.06698182719645018,0.3472727885397247,0.12332508714976742,0.1997071449965057,0.6769238461446849,0.26266923040851003,0.4866169317984673
semseg-ptv3-pheno4d-maize,1,Maize01,M01_0324_a,1214597,0.8682153619059078,0.8748624636657744,0.8615682601460412,0.22252841887702376,0.626563022400535,0.2511204672008692,0.4355532786885246,0.4061718098415346,0.4826115332618526,0.3633562455558189,0.36479937972475285,0.004475558559752741,0.0793275465030788,0.010634803148698704,0.0372172827695112,0.5538652475466286,0.313628084074714,0.5609770055275637,0.46803903269926905,0.3143501143592792,0.5545872778311938,0.30723835637834407,0.4001763292066387,0.12411847672778561,0.5802143877079018,0.1606596395783747,0.33907427341227125,0.4395306859205776,0.49797970080330944,0.3831063351243284,0.38004846526655894,0.0029540662458412133,0.05798466487238154,0.007367052610865991,0.02686899440719844,0.5863907805817261,0.3291183176503022,0.5963323745545562,0.5086539925664927,0.2818245813241816,0.5390970442556056,0.2718829873513515,0.35956136933941507
semseg-ptv3-pheno4d-maize,1,Maize01,M01_0325_a,1407956,0.7807950295021364,0.8202559814156599,0.7413340775886129,0.027788069655427936,0.3510654936461388,0.08683960771907624,0.16292908210844176,0.34306956983536907,0.4440695693247187,0.3749024852334782,0.38942808754559666,0.003832506129452909,0.07616644270133442,0.0091679001332428,0.03174673072169869,0.5953662097567379,0.38322749801670764,0.5499239830258592,0.5046164446751172,0.18542881974539852,0.3975675314854288,0.2308710464762772,0.2761785848270192,0.036284470246734396,0.32563175232084035,0.10975609756097561,0.17606090055069648,0.3934226552984166,0.473461752909225,0.43034412178585135,0.43930487177603056,0.0023857279630897558,0.049529246652594255,0.00594194704948166,0.021647693535877543,0.5659414667295609,0.3812482768871037,0.5107449198287229,0.4731121433387729,0.2148535627725755,0.3995467526150327,0.2700501096734135,0.30768288616336353
semseg-ptv3-pheno4d-maize,1,Maize02,M02_0313_a,1729943,0.16075313967402324,0.00015844670837669207,0.3213478326396698,0.02080989876265467,0.0007800640917524034,0.007194244604316547,0.0017377418748825851,0.04478242501056189,0.004741397159302663,0.03714809262035649,0.010334867767849084,0.0018873454212075195,0.0731989435490071,0.005434283094876536,0.026666774570029184,0.12795697778741497,0.1579924090484957,0.13858197106168674,0.15471683485265741,0.03279616188660828,0.002760730625527533,0.02217116861233652,0.006036304821365835,0.024454725710508923,0.0012163450475032053,0.011263318112633182,0.0032587634313898184,0.06700379266750948,0.007480970892816308,0.06424661480841257,0.019833708643686124,0.0009358689852787057,0.017716190649056066,0.0020278124770584925,0.006695596328896386,0.11502388048501404,0.15640448170386348,0.12299817321350037,0.14920690363648528,0.045729259189009205,0.004348657970159757,0.03775496646052287,0.01154623603753797
semseg-ptv3-pheno4d-maize,1,Maize02,M02_0315_a,1441265,0.280103018591107,0.0028438414130122877,0.5573621957692017,0.14546580006190035,0.011497636404564424,0.0828335832083958,0.02572446923911359,0.1423763914056433,0.010157762209013516,0.06868991080736708,0.022428139183055976,0.003917392013266124,0.08916750215956122,0.00971507668610561,0.03474309027139353,0.13618192285733516,0.269275319284318,0.20434127158322554,0.2560267143800222,0.14392109573377182,0.010827699306788969,0.07576174700788144,0.02407630421108478,0.1736881005173688,0.016139617413286015,0.11079545454545454,0.03690324014894681,0.1974156496769562,0.014438763087411736,0.10027054447074737,0.03308782501952907,0.0022591265312069606,0.028956506957429757,0.004563352332846492,0.01289561600399649,0.09455114349394447,0.2648138283407581,0.174570019083006,0.24510748600686905,0.1855518750971625,0.015289190250348875,0.10553299950810097,0.03499553258423794
semseg-ptv3-pheno4d-maize,1,Maize02,M02_0317_a,861631,0.26615428256796025,1.972172643993255e-05,0.5322888434094806,0.0032520325203252032,0.0001417836381681554,0.0013127666557269445,0.00032346757237586933,0.1660377358490566,0.009925905214595274,0.08239048447925733,0.022246592511358295,0.0025057130024337564,0.07108959635853399,0.0063577099709736535,0.028020115339397026,0.18150939838326935,0.26112043814157854,0.22430265700046811,0.25486925252609316,0.0846448841846909,0.005033844426381715,0.04185162556749213,0.011285030041867082,0.0033305578684429643,0.0002199857009294396,0.001486988847583643,0.0004777260241251642,0.1806981519507187,0.015382115582516384,0.09562289562289562,0.03282098694094534,0.0017002638020219792,0.021432608622484566,0.0034515935475859156,0.010047224391880051,0.17413992765837943,0.2583532319262373,0.21759934033272063,0.24950492608542502,0.09201435490958083,0.007801050641722912,0.04855494223523963,0.016649356482535252
